dx,a100,a500,a2000
1000.0,57151.94090987559,57129.35304915225,57124.99215661372
2000.0,55482.31645666618,55435.59195877943,55426.559830242746
3000.0,53814.8214556599,53742.28318831589,53728.24189686033
4000.0,52149.6413033136,52049.46860849034,52030.049070163834
dx,a100,a500,a2000
1000.0,60921.61125779207,60904.413334979596,60901.10771800875
2000.0,59344.61932271163,59309.11903026242,59302.28916314589
3000.0,57769.125983903614,57714.13946079732,57703.5500305498
4000.0,56195.244082035606,56119.49958021555,56104.89667915113
dx,a100,a500,a2000
1000.0,65182.69593141933,65169.929524890176,65167.48511376755
2000.0,63699.709610557315,63673.39660309805,63668.354972644025
3000.0,62217.76831962638,62177.0810165116,62169.27957136514
4000.0,60736.93858660098,60680.99722108949,60670.26258124954
